channel,feature,reference_value,mean_abs_score_delta,max_abs_score_delta,rows_evaluated,interpretation
channel_33,value,0.7649300694465637,0.015907513202733235,0.05695119508486274,5000,model sensitivity evidence; non-causal
channel_33,delta_1,0.0,0.007142254819269449,0.12608933008618073,5000,model sensitivity evidence; non-causal
channel_33,rolling_mean_24,0.764700248837471,0.010713052754157454,0.04516282988679399,5000,model sensitivity evidence; non-causal
channel_33,rolling_std_24,0.0014322846695290652,0.013717869535520066,0.17408179724687844,5000,model sensitivity evidence; non-causal
channel_33,rolling_margin_24,-0.00038306663433707033,0.008902014285821479,0.13590194547222412,5000,model sensitivity evidence; non-causal
channel_33,rolling_abs_z_24,0.35575494051932605,0.0070731365887467266,0.19948537638128094,5000,model sensitivity evidence; non-causal
channel_34,value,0.15257707238197327,0.007756529425305464,0.05470340699122056,5000,model sensitivity evidence; non-causal
channel_34,delta_1,0.0,0.00934088133555964,0.13219991071167053,5000,model sensitivity evidence; non-causal
channel_34,rolling_mean_24,0.1524535392721494,0.008701238569212762,0.04972333040807336,5000,model sensitivity evidence; non-causal
channel_34,rolling_std_24,0.0011598235619444041,0.010156189259063393,0.09588154057657561,5000,model sensitivity evidence; non-causal
channel_34,rolling_margin_24,0.00030862198521693085,0.009017653306823067,0.13448533264180895,5000,model sensitivity evidence; non-causal
channel_34,rolling_abs_z_24,0.3696899836234841,0.0079367434924238,0.18485393441917902,5000,model sensitivity evidence; non-causal
channel_35,value,0.20021574199199677,0.009688460529165317,0.06961814927694782,5000,model sensitivity evidence; non-causal
channel_35,delta_1,0.0,0.008203533586030458,0.12643332512579392,5000,model sensitivity evidence; non-causal
channel_35,rolling_mean_24,0.19996443515022597,0.009138497200092858,0.07037617571298643,5000,model sensitivity evidence; non-causal
channel_35,rolling_std_24,0.0013996008977283072,0.010966961372552729,0.12388348484768597,5000,model sensitivity evidence; non-causal
channel_35,rolling_margin_24,0.00030529871582984924,0.005746427104935763,0.10248403552690066,5000,model sensitivity evidence; non-causal
channel_35,rolling_abs_z_24,0.40913316078266554,0.005801378911506778,0.18136595914177756,5000,model sensitivity evidence; non-causal
channel_36,value,0.24230939149856567,0.024511948785624713,0.09598734475098669,5000,model sensitivity evidence; non-causal
channel_36,delta_1,0.0,0.009228990166596507,0.12522625028037687,5000,model sensitivity evidence; non-causal
channel_36,rolling_mean_24,0.24165951584776243,0.015029710950568728,0.07125981246880542,5000,model sensitivity evidence; non-causal
channel_36,rolling_std_24,0.0013654994615648155,0.014503279881754563,0.13041638144981738,5000,model sensitivity evidence; non-causal
channel_36,rolling_margin_24,0.0003249756991863251,0.0049595116769587805,0.11917270542450842,5000,model sensitivity evidence; non-causal
channel_36,rolling_abs_z_24,0.4746104425482249,0.006184647813016917,0.19220204832116866,5000,model sensitivity evidence; non-causal
channel_37,value,0.2781813442707062,0.0201862917675885,0.08528088284885371,5000,model sensitivity evidence; non-causal
channel_37,delta_1,0.0,0.00787591424068227,0.12127303203443851,5000,model sensitivity evidence; non-causal
channel_37,rolling_mean_24,0.27753176043430966,0.01853412522836569,0.0807229771174412,5000,model sensitivity evidence; non-causal
channel_37,rolling_std_24,0.0013541577220746916,0.011406790460390065,0.14856497015505227,5000,model sensitivity evidence; non-causal
channel_37,rolling_margin_24,0.0003898224482933865,0.005962834178712028,0.09924467730955422,5000,model sensitivity evidence; non-causal
channel_37,rolling_abs_z_24,0.4275883594201708,0.00709602850275237,0.16788720528608342,5000,model sensitivity evidence; non-causal
channel_38,value,0.1146552711725235,0.023868871006487633,0.07697955586621724,5000,model sensitivity evidence; non-causal
channel_38,delta_1,0.0,0.010157599531335949,0.15178129618694775,5000,model sensitivity evidence; non-causal
channel_38,rolling_mean_24,0.11471862625330687,0.022600647654883052,0.07252795799471556,5000,model sensitivity evidence; non-causal
channel_38,rolling_std_24,0.0012834448751124876,0.010723138709512045,0.11665818122704763,5000,model sensitivity evidence; non-causal
